,imdb,kills,title,year
287,tt0105236,12,Reservoir Dogs,1992
288,tt0318627,7,Resident Evil:,2004
289,tt0432021,124,Resident Evil:,2007
290,tt0282552,6,Riders,2002
291,tt0265651,11,Ripley's Game,2002
292,tt0339579,91,Ritana,2002
293,tt0098206,7,Road House,1989
294,tt0093870,34,RoboCop,1987
295,tt1032755,11,RocknRolla,2008
296,tt0117500,24,The Rock,1996
297,tt0107983,15,Romeo is Bleeding,1993
298,tt0122690,34,Ronin,1998
299,tt0110891,38,Prince of Jutland,1994
300,tt0327850,46,The Rundown,2003
301,tt0093894,41,The Running Man,1987
302,tt0404390,22,Running Scared,2006
303,tt0318649,68,Sahara,2005
304,tt0120815,255,Saving Private Ryan,1998
305,tt0086250,44,Scarface,1983
306,tt0277296,105,The Scorpion King,2002
307,tt0084649,12,Secret of NIMH,1982
308,tt0363988,4,Secret Window,2004
309,tt0464196,28,Severance,2006
310,tt0162650,22,Shaft,2000
311,tt0365748,60,Shaun of the Dead,2004
312,tt0111161,4,The Shawshank Redemption,1994
313,tt0465602,151,Shoot 'Em Up,2007
314,tt0102915,48,Showdown in,1991
315,tt0286106,3,Signs,2002
316,tt0102926,8,The Silence of the Lambs,1991
317,tt0117653,35,Silent Trigger,1996
318,tt0401792,53,Sin City,2005
319,tt0162661,25,Sleepy Hollow,1999
320,tt1010048,8,Slumdog Millionaire,2008
321,tt0475394,47,Smokin' Aces,2007
322,tt0417148,60,Snakes on a Plane,2006
323,tt0208092,26,Snatch,2000
324,tt0360009,15,Spartan,2004
325,tt0111257,7,Speed,1994
326,tt0076752,73,The Spy Who Loved Me,1977
327,tt0486655,22,Stardust,2007
328,tt0253754,54,Star Trek: Nemesis,2002
329,tt0120915,34,Star Wars I:,1999
330,tt0121765,55,Star Wars II:,2002
331,tt0121766,115,Star Wars III:,2005
332,tt0076759,75,Star Wars IV:,1977
333,tt0080684,30,Star Wars V:,1980
334,tt0086190,69,Star Wars VI:,1983
335,tt0120201,256,Starship Troopers,1997
336,tt0282552,6,Riders,2002
337,tt0102984,45,Stone Cold,1991
338,tt0114558,12,Strange Days,1995
339,tt0489282,15,Strange Wilderness,2008
340,tt0162677,10,Summer of Sam,1999
341,tt0448134,15,Sunshine,2007
342,tt0108255,8,Super Mario Bros.,1993
343,tt0348150,10,Superman Returns,2006
344,tt0408236,12,Sweeney Todd:,2007
345,tt0120851,74,Sweepers,1998
346,tt0244244,41,Swordfish,2001
347,tt0365737,11,Syriana,2005
348,tt0936501,35,Taken,2008
349,tt0098439,20,Tango & Cash,1989
350,tt0075314,4,Taxi Driver,1976
351,tt0372588,781,Team America:,2004
352,tt0088247,34,Terminator,1984
353,tt0103064,23,Terminator 2:,1991
354,tt0181852,14,Terminator 3:,2003
355,tt0469494,4,There Will Be Blood,2007
356,tt0084787,21,The Thing,1982
357,tt0114660,15,Things to Do in Denver When You're Dead,1995
358,tt0041959,4,The Third Man,1949
359,tt0059800,47,Thunderball,1965
360,tt0300556,65,Timeline,2003
361,tt0120338,307,Titanic,1997
362,tt0114681,2,To Die For,1995
363,tt0108358,55,Tombstone,1993
364,tt0100802,77,Total Recall,1990
365,tt0092106,47,Transformers: The Movie,1986
366,tt0293662,8,The Transporter,2002
